ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B00LS9UD2M,https://www.amazon.com/dp/B00LS9UD2M,https://www.amazon.ca/dp/B00LS9UD2M,11.99,16.99,5.0,41.7
B0917GV13P,https://www.amazon.com/dp/B0917GV13P,https://www.amazon.ca/dp/B0917GV13P,16.95,23.9,6.95,41.0
B08DY9HRWD,https://www.amazon.com/dp/B08DY9HRWD,https://www.amazon.ca/dp/B08DY9HRWD,21.99,30.99,9.0,40.93
B0BFM3QFDG,https://www.amazon.com/dp/B0BFM3QFDG,https://www.amazon.ca/dp/B0BFM3QFDG,19.9,27.99,8.09,40.65
B00NX0WXQI,https://www.amazon.com/dp/B00NX0WXQI,https://www.amazon.ca/dp/B00NX0WXQI,19.95,27.99,8.04,40.3
B07RL6HMVH,https://www.amazon.com/dp/B07RL6HMVH,https://www.amazon.ca/dp/B07RL6HMVH,10.98,15.39,4.41,40.16
B00T4RH8E6,https://www.amazon.com/dp/B00T4RH8E6,https://www.amazon.ca/dp/B00T4RH8E6,32.85,46.03,13.18,40.12
B06W2MPGZV,https://www.amazon.com/dp/B06W2MPGZV,https://www.amazon.ca/dp/B06W2MPGZV,9.99,13.99,4.0,40.04
B0921Y3SCW,https://www.amazon.com/dp/B0921Y3SCW,https://www.amazon.ca/dp/B0921Y3SCW,9.99,13.99,4.0,40.04
B01N1QE5ME,https://www.amazon.com/dp/B01N1QE5ME,https://www.amazon.ca/dp/B01N1QE5ME,24.99,34.99,10.0,40.02
B0C3QZ7SNF,https://www.amazon.com/dp/B0C3QZ7SNF,https://www.amazon.ca/dp/B0C3QZ7SNF,19.99,27.99,8.0,40.02
B091SQRKVG,https://www.amazon.com/dp/B091SQRKVG,https://www.amazon.ca/dp/B091SQRKVG,39.97,55.9,15.93,39.85
B07QK9C9KT,https://www.amazon.com/dp/B07QK9C9KT,https://www.amazon.ca/dp/B07QK9C9KT,17.99,24.99,7.0,38.91
B00E0IBKLQ,https://www.amazon.com/dp/B00E0IBKLQ,https://www.amazon.ca/dp/B00E0IBKLQ,69.85,97.02,27.17,38.9
B07V3946XL,https://www.amazon.com/dp/B07V3946XL,https://www.amazon.ca/dp/B07V3946XL,17.99,24.97,6.98,38.8
B07BDRKLGM,https://www.amazon.com/dp/B07BDRKLGM,https://www.amazon.ca/dp/B07BDRKLGM,12.99,17.99,5.0,38.49
